province,day,S,E,I,R
Paktika,0.25,79367.05234808075,0.7621266536869801,0.9512348642373302,14181.318030401342
Paktika,0.5,79366.30671163175,1.4727368240045293,0.9276686683760142,14181.37662287588
Paktika,0.75,79365.57074904385,2.152005254401501,0.9265299882401311,14181.434455713515
Paktika,1.0,79364.82747559066,2.817614172595588,0.9457866445855557,14181.492863592171
Paktika,1.25,79364.06126699789,3.485363646201483,0.984035024459076,14181.553074331445
Paktika,1.5,79363.25739555959,4.169686020821109,1.0404130759472106,14181.61624534364
Paktika,1.75,79362.40162727315,4.884084511078381,1.114532922031213,14181.683495293733
Paktika,2.0,79361.47986621287,5.641511795304629,1.2064299409903247,14181.75593205084
Paktika,2.25,79360.47783350157,6.454702949790402,1.3165256242812322,14181.834677924367
Paktika,2.5,79359.3807711611,7.336473663315194,1.4456022266549753,14181.92089294894
Paktika,2.75,79358.17316214084,8.299993363255808,1.5947875936570228,14182.015796902262
Paktika,3.0,79356.83845879778,9.359041645337365,1.7655488929620953,14182.120690663929
Paktika,3.25,79355.3588131281,10.528255097993155,1.959694331204639,14182.236977442712
Paktika,3.5,79353.7148028742,11.823370610831446,2.1793821794899353,14182.366184335486
Paktika,3.75,79351.88514782055,13.261470871886358,2.427136641116445,14182.509984666449
Paktika,4.0,79349.8464109797,14.861237200580966,2.7058702944099164,14182.670221525297
Paktika,4.25,79347.57267953413,16.643214545880944,3.0189130093281116,14182.848932910663
Paktika,4.5,79345.03522042296,18.63009330734106,3.3700473856864672,14183.048378884021
Paktika,4.75,79342.20210537965,20.847012575787733,3.763550897838668,14183.27107114673
Paktika,5.0,79339.03780004157,23.321889430842994,4.2042450590921705,14183.519805468502
Paktika,5.25,79335.50271147225,26.08577906623249,4.697552042462248,14183.797697419055
Paktika,5.5,79331.55268806407,29.17327073457745,5.249559315608418,14184.10822188574
Paktika,5.75,79327.13846532359,32.62292480783774,5.8670929698205825,14184.455256898758
Paktika,6.0,79322.20505047157,36.47775664536669,6.5578005499681655,14184.843132333104
Paktika,6.25,79316.69103822381,40.78577336082129,7.330244311156762,14185.276684104218
Paktika,6.5,79310.5278492255,45.60057023956573,8.194005986036366,14185.761314548903
Paktika,6.75,79303.63888188769,50.981994089558924,9.159804277477186,14186.303059745274
Paktika,7.0,79295.93856740253,56.99688153628495,10.239626452745808,14186.908664608449
Paktika,7.25,79287.33131664062,63.719881078969415,11.446875588930402,14187.585666691488
Paktika,7.5,79277.7103464685,71.23436860376177,12.796535204799742,14188.342489722938
Paktika,7.75,79266.95637172872,79.63346702660917,14.305353217577178,14189.188548027105
Paktika,8.0,79254.93614770181,89.02118181186637,15.992047385152922,14190.134363101168
Paktika,8.25,79241.50084631256,99.51366528486163,17.87753463686851,14191.191693765726
Paktika,8.5,79226.48424764612,111.24062392919538,19.98518696096135,14192.373681463725
Paktika,8.75,79209.70072650352,124.34688423235724,22.341116805745312,14193.69501245838
Paktika,9.0,79190.94301174484,138.99413411379032,24.974495266174713,14195.172098875197
Paktika,9.25,79169.97969405091,155.36285853197086,27.917906668925674,14196.8232807482
Paktika,9.5,79146.55245548268,173.65448951108485,31.207743538539187,14198.669051467696
Paktika,9.75,79120.37299178803,194.0937925848678,34.884646333922404,14200.732309293178
Paktika,10.0,79091.11959609132,216.93151328926518,38.993992749564704,14203.038637869857
Paktika,10.25,79058.43337019057,242.44730900571548,43.586441812206644,14205.616618991502
Paktika,10.5,79021.91402634006,270.9529937977778,48.71853859903245,14208.498181263121
Paktika,10.75,78981.11524101811,302.796124637544,54.453385744738014,14211.718988599616
Paktika,11.0,78935.53951918747,338.3639593441182,60.86138851311566,14215.318872955293
Paktika,11.25,78884.6325255884,378.08781758911016,68.02108071504342,14219.342316107444
Paktika,11.5,78827.77683792636,422.44787701152757,76.02003927421059,14223.83898578791
Paktika,11.75,78764.28507573844,471.97843655859896,84.95589574289109,14228.864331960074
Paktika,12.0,78693.39235850202,527.2736783952016,94.9374535306265,14234.480249572149
Paktika,12.25,78614.2480475057,588.9939578148701,106.0859200013203,14240.755814678116
Paktika,12.5,78525.9067285359,657.8726471811503,118.53626288339143,14247.768101399555
Paktika,12.75,78427.31839703908,734.7235545859942,132.43870057773142,14255.6030877972
Paktika,13.0,78317.31781471072,820.4489300883909,147.96033588154,14264.356659319345
Paktika,13.25,78194.61301718901,916.0480614307928,165.2869423002372,14274.13571907995
Paktika,13.5,78057.77296749117,1022.6264463032277,184.62491142172223,14285.059414783871
Paktika,13.75,77905.21437046392,1141.405508320209,206.20336861448288,14297.260492601374
Paktika,14.0,77735.18769167755,1273.732797413489,230.27646232991117,14310.886788579037
Paktika,14.25,77545.76245653795,1421.0925844849316,257.1258302049,14326.1028687722
Paktika,14.5,77334.8119544474,1585.1167155656838,287.0632410078232,14343.091828979062
Paktika,14.75,77099.99752822469,1767.5955398239012,320.4334069927561,14362.057264958621
Paktika,15.0,76838.7527006629,1970.488660947243,357.6169549304513,14383.225423459375
Paktika,15.25,76548.26747796654,2195.9351825980275,399.03353603040125,14406.847543404998
Paktika,15.5,76225.47327642649,2446.263023750973,445.1450447821831,14433.202395040322
Paktika,15.75,75867.02904642261,2723.9967669611997,496.45890403135485,14462.599022584793
Paktika,16.0,75469.30931867522,3031.8633705704465,553.5313579542941,14495.379692799997
Paktika,16.25,75028.3950729276,3372.794923827554,616.9706955883948,14531.923047656408
Paktika,16.5,74540.068529143,3749.9274522877736,687.4403048095203,14572.647453759662
Paktika,16.75,73999.8131843017,4166.594591786476,765.661429789352,14618.014534122416
Paktika,17.0,73402.82065989125,4626.314747334497,852.4154737933585,14668.532858980854
Paktika,17.25,72744.00617852848,5132.770146409065,948.5456536787842,14724.761761383626
Paktika,17.5,72018.03474039512,5689.775996730524,1054.9577729120947,14787.315229962225
Paktika,17.75,71219.36030272978,6301.23778479698,1172.6198370797465,14856.865815393452
Paktika,18.0,70342.28045237574,6971.094628151788,1302.5601910533169,14934.148468419115
Paktika,18.25,69381.00916737107,7703.246554472971,1445.863812320583,15019.96420583533
Paktika,18.5,68329.7702441161,8501.46366554652,1603.6663536311416,15115.1834767062
Paktika,18.75,67182.91376729094,9369.275403843238,1777.1454943407352,15220.749074525043
Paktika,19.0,65935.0575573353,10309.8386305412,1967.50913934686,15337.678412776593
Paktika,19.25,64581.25477630822,11325.784006869326,2175.9800044416497,15467.064952380768
Paktika,19.5,63117.18773921334,12419.04130355572,2403.7761558625557,15610.078541368342
Paktika,19.75,61539.386407352096,13590.645791178309,2652.087139464771,15767.964402004785
Paktika,20.0,59845.46799665581,14840.529809858916,2922.045452132092,15942.04048135314
Paktika,20.25,58034.39165253027,16167.305934759788,3214.693281806122,16133.692870903787
Paktika,20.5,56106.71930564478,17568.05076218165,3530.9446701714423,16344.369002002097
Paktika,20.75,54064.87057221721,19038.101238202067,3871.543583039507,16575.568346541193
Paktika,21.0,51913.356644087566,20570.8779839937,4237.018722560241,16828.830389358463
Paktika,21.25,49658.97532410114,22157.752359964525,4627.636349635161,17105.719706299144
Paktika,21.5,47310.94750839483,23787.975319546447,5043.352837002351,17407.808075056342
Paktika,21.75,44880.97489997185,25448.68605362015,5483.76911895187,17736.653667456103
Paktika,22.0,42383.200065929246,27125.016560086584,5948.089594140872,18093.77751984327
Paktika,22.25,39834.05352626507,28800.304250357152,6435.088315961326,18480.637647416428
Paktika,22.5,37251.9785748928,30456.418405932116,6943.085409346945,18898.60134982812
Paktika,22.75,34657.032852797725,32074.197923253112,7469.93652749515,19348.916436453994
Paktika,23.0,32070.375789611666,33633.987920008265,8013.037765699849,19832.6822646802
Paktika,23.25,29513.6619570484,35116.25239953443,8569.347767619429,20350.82161579772
Paktika,23.5,27008.370842075958,36502.23057201032,9135.427812707081,20904.054513206615
Paktika,23.75,24575.11207532409,37774.59703928987,9707.499523598912,21492.875101787104
Paktika,24.0,22232.950336348513,38918.0821788628,10281.518579018348,22117.53264577032
Paktika,24.25,19998.794951029857,39920.009636510105,10853.26158974566,22778.01756271436
Paktika,24.5,17886.895145040493,40770.71316382363,11418.422232026189,23474.05319910967
Paktika,24.75,15908.473308128256,41463.80468516501,11972.711963574578,24205.093783132146
Paktika,25.0,14071.516485297729,41996.27830186817,12511.960268812876,24970.32868402121
Paktika,25.25,12380.732250141138,42368.44925894971,13032.209439122431,25768.692791786703
Paktika,25.5,10837.66101211989,42583.74081509566,13529.79938074939,26598.882532035044
Paktika,25.75,9440.92446409784,42648.34370864137,14001.438794715465,27459.376772545318
Paktika,26.0,8186.580796470604,42570.78106720626,14444.260195571344,28348.461680751778
Paktika,26.25,7068.55241229819,42361.415359444094,14855.857505282247,29264.258462975456
Paktika,26.5,6079.090058044229,42031.93482565525,15234.305928673117,30204.7529276274
Paktika,26.75,5209.240561255118,41594.8522526867,15578.165163635802,31167.82576242237
Paktika,27.0,4449.2908974880875,41063.04244585719,15886.467896087735,32151.282500566984
Paktika,27.25,3789.1673204753483,40449.33827071901,16158.69574961007,33152.882399195565
Paktika,27.5,3218.7757765390943,39766.197001663815,16394.74546522294,34170.36549657415
Paktika,27.75,2728.278036367149,39025.44011617323,16594.88829431687,35201.47729314275
Paktika,28.0,2308.3016444297823,38238.06638669852,16759.724918546835,36243.99079032487
Paktika,28.25,1950.0887075292258,37414.130796663754,16890.138635451167,37295.72560035586
Paktika,28.5,1645.589455816314,36562.68164216993,16987.248485576518,38354.564156437234
